fen,eval
1n6/6B1/1p4k1/p1p5/P4p1P/2P2N2/3R4/1K6 b - - 0 40,+912
7q/r2pb3/3p1kr1/6p1/2K1b3/1PPP1NP1/P6P/1R5R w - - 4 27,-942
8/6p1/6k1/2pQ4/p1P5/R1P5/8/3K4 b - - 0 39,#+11
rn3k1r/pbppn1pp/Bp3p2/4p3/6P1/4PP2/P1PP3P/RN1QK1NR w KQ - 0 10,+1613
1r3b2/p7/1pp1k3/4pN2/P3P3/1P4P1/NBPKP3/7Q b - - 2 21,+1314
8/8/1k6/3p2K1/4q2P/1r6/8/3n4 b - - 1 43,-3023
8/4k3/p3p3/7P/P7/4P3/4K3/RN6 b - - 1 36,+1308
1n2k1n1/1p3pp1/4p3/3B4/3P1p2/rb6/4K3/6N1 b - - 1 22,-2602
5bnr/4pkpp/Nr1p4/p5p1/P1P2P2/8/4P2P/1nB1KB1R w - - 0 24,-687
2bk4/3P4/4Rp2/1p6/n7/2P1P1P1/8/2K2NN1 w - - 1 35,+1175
r1b2k1r/3p2pp/n1p1pn2/8/P1P2p2/R2P1P2/q2BBK2/7R b - - 3 27,-1942
r1bqkb1r/ppppn2p/2n1pp2/P2N2p1/2P5/RP1P3P/4PPP1/2BQKBNR b Kkq - 2 10,-594
N7/8/3R2R1/5k2/2B5/7N/8/4K3 w - - 1 34,#+2
3rkbn1/1pp1pp2/6Q1/p2p4/1P6/B1P2P1b/P3P1B1/RN2K1NR w KQ - 1 13,+2082
5k2/3n4/1p6/6p1/2B1N3/1P2P3/2P4K/b7 b - - 0 32,+28
4nk2/4R2r/8/2p1P2p/Q7/4K3/4N1BP/2B1R3 w - - 1 31,#+1
B3k3/1n1p4/1p6/2b2P1p/2P5/P3r3/3K1P1P/7R b - - 0 31,-25
r3kbnr/ppp1pp2/n5pQ/8/8/PP3N1b/1B2PP1P/RN2K2R b KQq - 1 11,-871
B5kn/2BR4/5b2/p5p1/6P1/P7/4P3/1K6 w - - 3 35,+1378
1nb3kr/1pppq3/7b/4QPr1/1P4P1/2P5/P2P3N/RNB1K3 w Q - 1 19,+747
r3k2r/p3p3/2R2np1/P5bp/3P4/p3pK2/8/8 b k - 1 33,-2409
8/8/6k1/5B2/8/2P5/1N5K/8 b - - 6 47,+1024
8/1Rp1k3/7p/8/5p2/2P4N/1P3K2/2B5 w - - 0 35,+1569
4k1r1/r1p5/b1n2p1n/1P5P/3ppP2/R1PP4/1Q2P2P/1N2KB1R b K - 2 21,+1359
4k1r1/3p1n2/b1p2Bp1/2P5/7R/1K6/4P1PP/5BR1 w - - 9 32,+1128
1Bb1qr2/5kp1/1p2p3/5n1P/4p3/3P4/1rP1KQBR/6N1 w - - 0 24,-827
8/8/3k4/1p6/8/P4K1P/1R6/8 b - - 0 49,+1262
3k3r/1p2bb1n/8/6R1/5P2/2P4P/6PR/4K3 b - - 0 28,-812
2r5/3k1p2/p2p3r/P4q2/2P1b3/b7/6P1/3K1B2 b - - 1 26,#-3
rnb1kbnr/p2pppp1/8/p6p/7P/8/PPQPPPP1/RNB1KB1R w KQkq - 0 7,#+1
7k/8/8/2p5/P3N3/1P3P2/2P5/R1B4K b - - 1 39,+6784
7N/2k5/2p2P2/1p6/b6P/8/3K4/8 b - - 6 46,+575
1nbk1bnr/2pp2p1/7p/1p3p2/3P1P2/8/P1P1B1PP/RNQK2NR w - - 0 11,+1308
8/8/1k6/8/4P3/1p2P1PN/8/3K4 b - - 1 39,+954
r1k5/p4r2/4p2p/n6N/2P5/b1KBP2R/5P2/2B5 b - - 0 26,-538
rnbqkbnr/pppp1ppp/4p3/8/6P1/8/PPPPPP1P/RNBQKBNR w KQkq - 0 2,-43
rn1qkbnr/p4ppp/8/1pp5/4p2P/1P1P4/P1PNBP2/R1BQK2R b KQkq - 0 12,+113
6k1/3r4/pp1p4/3B1pPp/R2P4/2P1B1PP/8/1N1K2R1 b - - 1 25,+2358
rnbqk1nr/1ppp1ppp/p3p3/8/P2P2P1/2N5/1PP1PP2/2RQKBbR w Kkq - 0 7,-786
r2qkbnr/p2ppppp/n7/1Bp5/8/1PP1PN1P/3P1PP1/RNBQK2R w KQkq - 1 9,+1343
6k1/5P2/1p6/8/6b1/8/7r/K7 b - - 0 45,-1203
2k5/8/8/4p1P1/5R2/4K3/8/8 w - - 0 48,+1898
1n1k1bn1/3pp1p1/1pp2p2/1Q6/1p1PP1Pr/3B4/3N4/3K4 w - - 2 23,+372
6n1/1b3k2/p1p1p3/P1P3b1/8/1P6/7K/8 b - - 0 32,-1350
rQ4r1/p2p1kp1/2p1pp2/7P/8/P1q1P2N/1N6/1RB2K1R w - - 3 23,+852
6kr/B5p1/p5pp/8/4p1P1/8/1P1bPK1P/1R3BNb w - - 3 26,+744
4kbn1/1q6/p2p4/6p1/8/4P3/3B1Pr1/5K1R w - - 0 27,-1244
r3k2r/p4pRp/1p5n/4n3/2p5/B1p1Pp2/P2P1K1P/R1Q5 w - - 2 25,+834
1rb1k3/8/8/Pp3R2/8/5K2/5B2/R1b5 b - - 1 33,-8
rnbqkbnr/2p1pppp/p7/8/p2pP2P/5P2/1PPP1KP1/RNB1QBNR b kq - 1 6,-119
4k3/5R2/p1r5/2p5/8/2P5/P2BKP2/6Rr b - - 4 31,-67
8/8/1p3k2/5P2/8/1R5B/n1K1P3/4R3 w - - 0 42,+1585
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+54
3q1k2/2p2p2/8/4p3/1n2P2p/8/1bb3K1/8 w - - 1 40,-8073
7r/3B1k1p/1p5B/rN1PR3/8/8/P1n1KP2/8 w - - 3 25,+900
5r1r/2pR3p/b1q3p1/1k5n/4P3/p1P3PP/P7/R2KQ1N1 w - - 2 28,+590
8/k6B/4P3/4P1P1/3K4/8/8/8 b - - 4 47,+2608
r3k1n1/p2b4/3Bpp2/1Pp5/3P1P2/8/4K3/q4Q2 b q - 0 23,-2061
