fen,eval
1r4k1/8/6p1/P2b1p1p/P5n1/4P1K1/R1PN3P/2NR4 w - - 0 31,+631
1n3b1r/5Bpp/8/2k1Bn2/8/4P3/1r1P2PP/R1N1K2R w KQ - 4 21,+1312
rnk5/2p3b1/p4ppn/3Np3/1PQ1P3/6PN/P4P2/R2K4 b - - 2 22,+1187
5R2/3Nk3/4p3/R5p1/2P5/2b2K2/8/8 b - - 0 37,+609
5k1r/2ppn3/7p/2BP1pp1/8/8/2PP2PP/4QKNR w - - 0 19,#+3
1nbqkb1r/r2pp1p1/1p3p1p/7n/8/1P1P4/N1P1PPPP/2BQKBNR b Kk - 1 10,-926
r1b5/1ppk4/n4Bp1/p7/2PP4/P7/P3P1P1/R3KB2 b Q - 0 20,+534
1nbBk3/5p2/1Pn1p3/8/7r/r4P2/P1P1P1K1/R3QB1R b - - 3 23,+943
r1b1kb2/ppp1n1p1/4p2r/8/5PpP/2P1p3/PP1NN3/R1B3KR w q - 0 15,-514
1Q3bnr/2pp1ppp/3r1k2/p2q4/5P2/2N4P/PP2NKP1/R1B2B1R b - - 0 17,+1485
3k1br1/5ppp/b1p5/4pBP1/6KP/R2P4/2P5/2B1Q1NR b - - 4 21,+1975
3q1k2/8/8/3p4/1R4P1/2P5/5r2/3K4 b - - 0 39,-1799
rnbqkbnr/ppppp1pp/8/5p2/8/N7/PPPPPPPP/R1BQKBNR w KQkq - 0 2,+13
5k1r/5p2/7p/R1P1p2P/5p2/3K4/8/1R4N1 b - - 1 38,+954
1rbk4/p1p1q2p/1pnN4/4p3/8/PPP5/4P2P/3K1B1R w - - 1 24,-1084
r2qkbnr/pp2pppp/3p4/2p5/P2P2bP/1QP5/4PPP1/RNB1KBNR b KQkq - 0 7,+630
8/7k/2B2ppp/1N6/6P1/1P6/P6P/R2QBKR1 b - - 0 32,+7587
1nb1kbnr/3ppppp/2p5/qp6/QpP5/N7/P2PPPPP/R1BK1BNR w k - 0 7,+1734
r1k5/p3b3/nr6/5p2/8/1p6/8/6K1 b - - 1 47,#-7
2b2k1r/1r3NR1/7p/pp4p1/P5P1/5P1P/2P1P3/1K3BNR b - - 0 26,+286
r3k3/5p2/1pn1n1p1/p4b2/1bp5/8/6K1/8 b - - 4 43,-7975
1Q6/8/4k3/RP1p4/3K1R2/3P4/2P5/6N1 w - - 9 38,#+2
4k1n1/1p2n3/4p1P1/2p5/4PP2/1p6/6K1/6N1 b - - 0 33,-1124
r5nr/pbpp2pp/n2b1p2/1k6/3p4/8/PKPN4/R3Q3 w - - 0 22,-157
5k2/p7/7P/4p3/K7/8/8/6r1 w - - 3 50,-1240
6r1/8/2k5/8/3P4/8/1N3P2/R2NKB2 b - - 15 41,+1329
6k1/8/q3pp2/7P/8/R3p2K/5p2/8 w - - 2 50,-1432
rn1q1knr/1b2p3/3p4/p1p3p1/2P3p1/NP1R1P2/P1P1P1BP/2K3NR b - - 0 13,-1201
6k1/8/8/4p2P/2PNP2K/N7/8/8 b - - 10 39,+1261
5k2/4q3/8/1B3P2/8/8/2PN1P2/3K3R b - - 1 32,+76
rn5B/p7/2p1k1p1/5p1p/3p3P/5PK1/R1P5/1N5R w - - 0 25,+1034
r2qk3/n1p1p1b1/p7/5pp1/P1pP2b1/5R2/1PK1N3/R1B5 w - - 4 25,-1471
8/5k2/B3b3/6K1/8/P5P1/8/4N3 w - - 1 44,+842
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,+8
2n3r1/3b3k/2p3p1/1p3pPp/3P3P/1P3K2/6R1/5B2 b - - 0 32,-742
rnb3nr/p1pk1pp1/8/1q5p/1P6/2B5/PP2PPPP/RN2KBNR w KQ - 2 10,-475
5b2/3qp1kr/3p1p2/2N4p/1n2PP1P/pR6/P1P2K2/8 b - - 0 26,-1463
rnbqkb1r/p1pppppp/8/1p1n4/1P6/2P1P3/P2P1PPP/RNBQKBNR w KQkq - 0 4,+129
r1bk1b1r/pp1ppppp/n7/1p6/6P1/3P1N2/P1PN2Bq/R1BQK2R w KQ - 0 11,+1378
8/3r2k1/5n2/2pP4/p3K3/P7/5b2/8 w - - 4 47,-1161
8/8/5R2/pk1K4/7p/1P6/4N3/4N3 b - - 6 42,+1273
rn2k1nr/1pq3b1/p1Qpp2p/5p2/1P3P1P/P3P3/2PP4/1NB1K1R1 b kq - 0 16,-1798
8/4k3/8/p7/P5K1/2P5/8/8 w - - 0 48,+707
2b2kn1/1p1P1pp1/r3p3/p7/P1P5/8/n7/1N1K2N1 w - - 1 26,#+1
rn6/1k2np2/p3p2Q/3p4/P5P1/3P1P1P/4P3/1N2KBNR b K - 0 21,+1521
r3k1nr/p2nbpp1/b3p3/1NP4p/1P6/8/P1P1PPPP/q1B1KBNR b Kkq - 1 10,#-1
rnbqkbnr/p2ppppp/1pp5/8/7P/5N2/PPPPPPP1/RNBQKB1R w KQkq - 0 3,+103
r1b3nr/pp1k1N1p/n7/3p2p1/1Pq1p3/P6P/2QPPKP1/R1B2B2 b - - 0 14,-1300
1n2kbnr/1p1b1ppp/4p3/2pp4/2P1P3/P2P2PN/P2N1P1P/R2QKB1R b KQk - 0 11,+1322
rnbqkb1r/pppppppp/5n2/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 1 2,0
3k1b1r/2p1pn2/8/6B1/1P1P2P1/3B4/8/1N1K2Nb b - - 2 25,-890
2Q5/2b5/2P1P3/5k1B/1P6/8/3PK3/8 w - - 14 38,#+5
r1bqkb1r/ppppnpp1/n6p/1P2p3/8/8/PBPPPPPP/RN1QKBNR w KQkq - 2 5,+581
2k5/8/4K1n1/5r2/R7/1PP5/7n/8 b - - 4 39,-310
8/1k6/4P3/8/8/3P1K2/8/8 b - - 6 48,+1462
4k3/r7/p2P4/P1b5/8/8/5N2/5K2 w - - 2 49,-602
3b4/6PK/2n5/p3P3/4P3/1k5P/8/8 b - - 0 49,-398
rnbqkbn1/ppppp1pr/5p2/7p/1P6/P4P2/2PPP1PP/RNBQKBNR w KQq - 1 4,+198
r1bqkbnr/pp1p1ppQ/8/2p1p3/PnP4P/N7/3PPPP1/R1B1KBNR b KQkq - 0 7,-1280
r5kr/pppq4/n3p1pp/3p3b/3N4/1QbP1P1P/P2N1KP1/R1B2B1R b - - 1 15,-604
5bn1/1p2p3/N3k1pr/8/1P2PPnp/P2Q4/2r3B1/1RB1K3 w - - 3 24,+1442
3r4/6p1/8/6k1/p1P5/P7/2R1P1B1/7K w - - 2 33,+757
8/p1np1p2/4k2p/2p4P/P1P1p1PR/2K1Pn2/2N5/R7 b - - 1 29,+417
rnbq1b2/pp1k1p1p/7n/4p3/P3P3/7N/1PP2PBR/RNK5 b - - 2 12,-1051
6k1/4p3/6n1/1PP5/7p/8/8/5N1K w - - 1 40,+1006
8/2k4p/7r/p5K1/P7/8/2n1p3/8 b - - 3 43,-2044
8/8/2P4B/3N1k2/8/7p/2K5/6r1 w - - 2 40,+616
r1bqkB1r/3n2pp/1pp4n/p3p3/P5PP/1P2P3/R1P2P2/1N2KBNR b Kkq - 0 11,-1166
r3kbnr/Q2bppp1/7p/2p5/1p6/2P4B/P2PK2P/R1B3NR w kq - 0 14,#+1
3k4/4pp2/B4n1b/3P2P1/2r1p3/p7/R1P4r/4K1R1 b - - 3 25,-762
4r3/7p/p7/8/5k2/6R1/P7/2R3K1 b - - 1 49,0
7r/q1n3k1/2p5/1p2N3/1p4b1/6P1/P5K1/2r5 b - - 5 31,#-1
rnb1kb1r/p2p1p1p/1p6/2N5/3Pp3/1P6/P1P1P1PP/R1BQ1KNR b kq d3 0 9,+945
5r1k/1bpp4/pp6/3P4/1R6/8/P3PP1P/RQB1KB2 b Q - 0 23,+2232
5knr/p1p4p/8/1P1p1bp1/P7/2KnPN2/4B1PP/R3Q2R w - - 2 20,+1629
2b5/6R1/3Pk2p/4p3/1P2r3/7P/8/5K2 b - - 2 37,-562
1n1q1r2/r3pp2/6pp/1k1p4/p2P4/6PP/PPP1N1P1/R1BK3R w - - 0 22,-626
rnbqkbnr/ppppppp1/8/7p/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,+59
rnbqkbnr/ppppp1pp/8/8/PP3p2/N5P1/2PPPP1P/R1BQKBNR b KQkq - 1 4,+100
r1bq1bnr/pp1ppk2/2p2p2/5Ppp/8/2PP2P1/PP1K3P/RNB1QBNR w - - 0 9,+395
B6r/8/3k4/6P1/1PR5/6P1/1KP5/8 b - - 4 41,+820
3nk3/pBp3bp/1p2p3/8/PP4R1/N1P5/3PKQ2/1RB5 w - - 1 21,#+5
r2qk2r/p3p1b1/3p1p2/p5B1/b1PpP1n1/1P5N/P5KP/RN5R w kq - 0 17,-1477
3qkbnr/p1pp2pp/Q3pp2/8/P1P2P2/2N5/1r1PP1PP/R1B1KBNR b KQk - 0 8,+987
7r/6p1/4r2p/p4q2/2k4P/8/RK6/8 b - - 8 48,#-3
1k6/8/6P1/5p2/2pP3P/6P1/R4K2/7r b - - 2 39,+788
7k/8/8/7R/1P6/3R4/5N1P/6K1 b - - 7 46,+1965
2r4N/pp6/2b1kn1p/n1p5/5Pp1/P1P5/PB3K1P/R2R4 w - - 3 31,-122
8/Pk6/8/4Bp2/7p/1P5P/6K1/8 b - - 3 50,+1093
1nb3nr/3p2kp/2r5/p1p1p2P/R3P2R/1P1P4/2P2QB1/5K2 b - - 4 23,+526
r1b1qb1r/pp1n1kpp/3ppn2/8/P1p3P1/1PN1P2P/2PP1P2/R1B1KBNR w KQ - 0 9,-992
1nb1n3/rp1k4/1p6/5p2/8/2N5/PPPBPP2/1R1K1BN1 b - - 1 23,+1059
rnb2knr/pp1Q3p/4p3/6p1/1P4N1/3K4/2P2qPP/R1B3NR b - - 1 14,-1180
2r5/2k5/5n2/4pP2/3R1Np1/4b3/5P2/2BK1N2 w - - 2 29,+650
1n6/1p1k4/3p4/4p3/r2PP3/5P2/B7/2K5 b - - 2 33,-1058
1nbq2nk/2p5/1p6/3pp3/1P2P1p1/2P4P/1BKPNPP1/1N4R1 b - - 1 21,-773
3k4/8/7P/4P3/1KpP4/8/5n2/2R5 b - - 1 49,+1175
r1b1n1nr/1pp3p1/p3Q3/2k5/P4P2/b1P5/2NPK1PP/RNBR4 w - - 1 22,#+1
2b5/Rrkp4/6p1/2n5/3n2P1/6K1/8/6R1 b - - 2 31,-1182
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+47
8/4k3/8/1Bp5/7P/2PPR3/1B6/4K3 b - - 0 36,+6015
4k3/8/8/7p/2R4P/6R1/1P1N4/5K2 b - - 24 48,+2109
6k1/2r2p1p/5b2/1B6/P1n5/6q1/N3r3/2K5 b - - 0 39,#-1
2k4n/8/4p1p1/3p4/b4P1p/4N3/3PPK2/7r w - - 0 34,-1001
r1bk2nr/pppp1ppp/2n1p3/8/1P1P1b2/4B3/P1P1PPP1/RN1QKBN1 w Q - 1 7,+1043
r1B5/pp3kp1/7n/4P3/1n2P3/3B4/2PQ4/1NB1K1rR w K - 0 19,+1902
1R1rr3/p2b4/p2Pk3/7p/P7/6nP/3K2P1/8 w - - 4 34,-1280
3n1k2/1Q5R/4r3/2p5/p1P1P2p/P3P3/6PP/4K2R b - - 6 34,+937
6r1/4k3/1p6/p4q2/8/8/2bK4/7R w - - 0 40,-2194
1r6/p1qB4/1pp2k2/3p4/P2P4/R4P2/1PPPK1P1/1NBQ4 w - - 3 22,+1470
r1bqkbnr/pppppppp/n7/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq - 1 2,+89
1k6/p3p3/8/5P2/1r1bQ3/8/P5K1/8 b - - 1 35,+18
rnbqkbn1/3pp1r1/ppp5/6p1/3P2p1/P1P1B2P/1P1NPP2/1R1QKB1R b Kq - 1 11,-368
rnbqkbnr/pppppppp/8/8/5P2/8/PPPPP1PP/RNBQKBNR b KQkq - 0 1,-56
6n1/2R5/2QB4/5k2/2Pp4/8/1N6/2K5 w - - 1 42,#+4
1k5B/2p5/4p2b/2p4p/4P3/1q3PK1/3P4/5QN1 w - - 0 30,+578
8/3N4/3P4/4P3/2k5/8/8/2K4B w - - 5 50,+1642
2r5/8/5R2/3k1p1p/8/B3p1p1/P7/3K2N1 w - - 0 29,+454
3k2nr/2r2p2/1p3P2/p6p/8/P7/5pN1/5K2 b - - 1 28,-2121
r2k3r/1pp4n/7P/Q7/P1p5/2P4P/1PK5/RN5R w - - 1 26,#+8
3B4/8/2p4k/8/8/1PK1P1P1/1R3PR1/8 w - - 6 49,+5986
Nn6/4p1k1/8/8/Rn2P2r/4K3/3B4/8 w - - 5 33,+405
rn3b1r/pp2k3/2p2pp1/3b3p/P2Kp3/4P3/1P3N1P/R1BNQ1R1 w - - 0 16,+846
r1bq1bnr/1ppp1k1p/p3p3/2P1p1p1/3P4/N7/PP1P1PPP/R1B1KBNR w KQ - 1 9,-811
1n3b2/3Pp1k1/4R3/7r/P7/N3p2P/2P4P/4K3 w - - 1 31,+1165
rn2kbnr/ppp1ppp1/7p/8/6Q1/7N/qPPP1P1P/RNB1KB1R w KQkq - 0 6,#+1
8/8/1k6/5pp1/8/8/5K2/3q4 w - - 2 45,-2105
r1bqkr2/1ppp3p/7b/p2npp2/2B3QP/2P2NPR/PP1P1P2/RNB1K3 b Qq - 2 14,-1123
8/2r5/k7/8/8/6K1/5p2/8 b - - 7 49,#-4
4kbr1/p4p1p/R2p2p1/2p5/P3q1P1/4P3/2PPK2P/2B3NR b - - 0 22,-997
8/4k3/6pP/pK2p3/6P1/2P5/8/7R w - - 6 49,+1632
8/p7/q1p3k1/8/1P1P4/5K2/8/2b5 b - - 0 34,-1625
rnbqkbnr/ppp1ppp1/8/3p3p/4P3/2P5/PP1P1PPP/RNBQKBNR w KQkq - 0 3,+61
r7/p2nkr2/5ppp/b2P4/6b1/8/P1R2K1P/5R2 b - - 9 31,-1485
r2B3k/p7/1P1ppP2/4P1N1/8/N1P5/8/4K3 w - - 0 39,+1371
4k2B/1bp5/p3P3/1Qb2ppp/8/P5PP/R1PK4/2R5 b - - 0 24,+781
2B5/3R4/6p1/p6p/2P3k1/Pb1KP3/8/8 w - - 10 46,+1152
4r3/4rk2/1pp5/8/6BP/q7/6K1/6b1 b - - 0 39,#-3
8/3k4/8/8/P7/3K2QP/1p6/RN1BR3 b - - 0 39,+7025
8/8/r3k3/p1p2p1p/P1P4P/8/7K/8 b - - 19 41,-1415
rn2kbn1/ppq1p2r/6pp/1p1P4/8/P5NP/2PP1P2/RNBQK1R1 w Q - 1 14,+172
3kq3/2p4r/4rn1p/pB2N3/3b4/N1P2K1P/PP1Q4/R1B4R w - - 4 24,+1763
r1b3r1/5k1p/n3pbp1/3p4/PP6/8/R1P1PPPP/1N2KBNR b K - 0 15,-817
1nbk4/4n1p1/4p3/1pP5/3PP3/6P1/4K3/2B2B2 w - - 1 24,-284
3n1k2/2r5/p6p/5P2/8/5K1P/8/4b3 w - - 4 50,-1547
rnbqkbnr/ppppp1pp/8/5p2/8/3P4/PPP1PPPP/RNBQKBNR w KQkq - 0 2,+55
8/1b3p2/2p2k2/r2P1p2/5P2/6KP/8/8 b - - 0 43,-1273
8/8/5kr1/pK6/P3p3/2P5/R1n5/2B5 b - - 3 47,+52
r1bqkbnr/p1ppp3/1p3p1p/2n3p1/3P1P2/N1P1P3/PP4PP/R1BQKBNR w KQkq - 2 7,#+1
1q2r3/4k3/1p6/p2R2Pr/2b5/3P2P1/PP2K3/R1B5 w - - 3 35,-995
r1q3Rr/p1pnkp2/3p3p/1p2p3/1P6/N1PP3B/1P1QPP1P/R3K1N1 b Q - 3 14,+427
1nb1k2r/r1pp1ppp/p4q2/1p3N2/1P1pPNP1/b6P/P1P2P1R/R1BQKB2 w Qk - 1 13,+982
1n1k4/5R2/P6r/3bp3/4n3/3K4/8/8 w - - 1 32,-788
rnbqkbnr/pppppppp/8/8/8/2P5/PP1PPPPP/RNBQKBNR b KQkq - 0 1,-3
Nn3b1r/p4kpp/3p4/8/PP3p2/2q4N/1B1Pb2P/1R1QKB1R b K - 1 19,+1194
rnbqkbnr/pppppppp/8/8/8/5N2/PPPPPPPP/RNBQKB1R b KQkq - 1 1,+23
rn1qkbnr/pbpppppp/8/1p6/7P/7R/PPPPPPP1/RNBQKBN1 w Qkq - 2 3,-44
2bnk3/2pp2p1/6r1/p1P4p/Pn2p2P/8/6PR/4K3 w - - 3 29,-1876
6n1/7r/1P5k/7p/B3P2P/6K1/6P1/6R1 b - - 0 39,+632
r2k2n1/p1p5/3pBp2/1p3r2/1P2PB1p/P7/2P4P/RN2K1NR b - - 4 19,+1159
2q2bn1/1rpb3r/4p3/1pk5/p4p2/P2n1P2/1RP3BP/2BK2NR w - - 2 27,-1336
6k1/2r2pb1/8/p7/P1p3b1/R3P1RN/3n4/1b5K w - - 0 41,-871
3r1knr/p1p1p2p/1p4p1/6P1/4p3/PNK4P/RPP2PbR/1NB5 w - - 1 17,+884
8/5p2/p1k5/3p4/1K1P3P/1pP1B3/8/r4nN1 w - - 7 41,-709
6N1/1k6/p7/p7/5P1p/2K5/7P/4r3 b - - 0 50,-767
rnbk1b1r/ppp1pp1p/6pn/8/2p4P/2N3P1/PP1KPP2/R1B1QBNR w - - 2 7,+1219
rn1k2nr/p1q2pp1/Bpp1p2p/3p4/P6P/NPP1bPP1/3P4/R1BQ1KNR b - - 1 11,-31
r1k5/pR1pb2P/n1n2p2/2p1p2P/2P4P/3PP2N/3Q4/4KB1R w - - 1 24,+2189
Qn2qbkr/3bp2p/2pp3n/1p3pp1/P3P2P/1PPB2P1/3P1P2/RNB1K1NR w KQ - 1 14,+931
rn1qkb1r/p3pppp/3p1n2/1p6/4b3/1B6/PPPP1P1P/RNBQ1RK1 w kq - 2 9,-804
rnb1q1nr/1ppppk1p/7b/p7/3R4/8/PPPPPPP1/RNBQKBN1 b Q - 3 6,+273
r1bqk1r1/p5bp/npp1N1p1/3P4/5P2/1P6/P1PP1P1P/RNBQK2R w KQq - 1 11,+888
2b3r1/1ppk1pqp/n7/8/2N5/1P2P3/2KP1p2/2B5 b - - 3 26,-4001
1rb1k1nr/2pp3p/p3p1p1/2P5/1p6/1P3B2/P1P2P1P/R1B2RK1 w - - 1 19,+138
rnbq3r/1pppk2p/1n5b/p5p1/P4N2/5N2/1PPP1PPP/R1B1KB1R b K - 3 11,-1371
rnb1kbnr/3Qp1pp/2p2p2/pp6/P7/2N1PP2/1PP3PP/R1B1KBNR b KQkq - 0 7,+253
rnbqkb1r/2pppp2/p7/1p3Pp1/2N3p1/1P5B/P1PKP2P/R1BQ2NR w kq - 0 9,-19
4k2r/5p2/3r1b2/5N1p/1p2P1P1/7P/4P2R/4KBN1 b - - 0 23,-223
rnbqk2r/pppp3p/7b/5pp1/1PN5/3P4/P1P1PPP1/R1BQKBNR w KQkq - 0 8,+1081
3qkb2/rp2p1p1/n2p1R2/pN6/1PPP4/3b4/P7/R1B1K3 b Q - 0 17,-1428
5kn1/6n1/7r/8/2pP1PK1/7N/7P/1N6 w - - 1 37,-650
rnb2b2/3pkpq1/Bpp1p3/6p1/8/2N2PP1/PPPP4/R1BQ1KN1 w - - 0 14,+691
7k/1R6/3B4/5P2/8/2P4p/8/4Kn2 b - - 2 46,+839
1n4n1/2pp1kp1/4pp2/8/pb1P1PP1/4BR2/2P5/5K2 b - - 1 24,-789
r2k4/3p4/8/p2n3p/8/1b4K1/8/8 w - - 6 41,-6034
r1bqkbnr/pppppp1p/2n3p1/8/8/2NP4/PPP1PPPP/R1BQKBNR w KQkq - 1 3,+27
rnbqk1nr/pppp1ppp/8/4p3/8/b6P/1PPPPPP1/RNBQKBNR w KQkq - 0 3,+661
rn5r/ppp2p1p/5p2/1kb5/8/2P2PP1/PP1K3P/RN3R2 b - - 2 17,-664
rnbqk2r/ppp1bp2/5n1p/3pp1p1/P7/1RP2P2/1P1PPKPP/1NB1QBNR b kq - 1 7,-464
8/7k/p2P4/8/1p6/1n4P1/P4K2/6R1 w - - 0 44,+1690
r4k1r/ppp4p/2npp1pn/5p2/b4P1q/3PP1PN/2P1B2P/b2QK2R w K - 4 18,-564
r6r/1kp2ppp/p7/8/6n1/Qq2P1p1/P2P4/2B1K1R1 w - - 2 28,+846
3kn3/2r4R/2n1p3/8/2p5/4B3/4K1P1/5B2 w - - 1 35,+131
5b1r/1pQBkpn1/6p1/4p2p/4P3/2P3P1/1P1N1P1P/R1B1K1NR w K - 0 16,#+4
1N6/3R3p/6k1/1p1p1b1P/P6P/3P4/8/2K5 b - - 0 36,+872
rnbqkb1r/2pppppp/p4n2/1p6/3PP2P/2P5/PP3PP1/RNBQKBNR w KQkq - 0 5,+188
rn2b3/p3Q3/3p2k1/2p5/6p1/P2P4/RPP1P3/2K5 b - - 2 23,+823
8/4k3/2pp4/8/4R3/1N1K2P1/P7/8 b - - 0 42,+1172
rn1qkb1r/1pp1p1pp/p2p3n/8/8/PP5b/2PPPP1P/RNBQKBR1 w Qkq - 0 7,+120
2r3n1/2p2kp1/p4p2/1P6/2K4P/8/PP4P1/3R1BqR w - - 0 30,+1060
1rbqkb1r/1ppppppp/2n2n2/p7/8/1P3PPN/P1PPPK1P/RNBQ1B1R b k - 4 5,-169
3R4/8/k3K3/1p6/2p5/2B4N/3P4/8 w - - 1 41,+1250
r1b1k2r/1p1pppb1/n3N3/2P4p/1P1Pn1p1/5qP1/5P1P/RQN1KB1R b KQk - 1 19,#-2
2b3nr/p2pk3/n5p1/2p3P1/6P1/PP6/3PQ3/R1B1KBN1 b Q - 0 14,+1428
r1bqkbnr/pp1n1ppp/2p1p3/3p4/2B5/1P2PQ1P/P1PP1PP1/RNB1K1NR b KQkq - 0 5,-640
5rn1/N2p1k2/n2p1b2/2p5/4b3/1PPP3P/P3K2P/R1B2B1R w - - 1 22,+885
rn2kbnr/1pq1pppp/3p4/p7/7P/7N/PPPPPPP1/1RBQKB1R b Kkq - 0 6,+162
r6k/p5p1/8/1p2PB1p/4p2P/1PN2N2/2PP4/R1n1K2R b KQ - 1 19,+1720
8/7B/8/8/1Pk2b2/8/8/1R1K4 w - - 3 44,+835
rnbqkbnr/p1pppp2/1p5p/8/8/N2P4/PPPQPPPP/R3KBNR b KQkq - 1 4,-667
rn1q1bnr/1kp1p1pp/5p2/p4b2/5PP1/1P2B2N/P3P2P/Rb2K2R w KQ - 2 16,-1952
rnbqkbnr/pppp1ppp/4p3/8/8/N5P1/PPPPPP1P/R1BQKBNR b KQkq - 0 2,-25
8/4r3/p2p4/5k2/1p6/1P5K/P3P2P/4N3 b - - 1 47,-803
1r1qkbn1/p1ppn1pr/P3p2p/5p2/1P1P4/5P1N/P2KP1PP/RNB1QB1R w - - 1 10,+585
1rb1kb1r/3p1N2/1p3p2/p6p/8/6P1/PPQ1PPBP/RN2K2R b KQk - 0 14,+1462
r1bqkbnr/ppppp1p1/n6p/5p2/1P2N3/8/P1PPPPPP/R1BQKBNR w KQkq - 0 4,+117
3kn3/8/1P2p2r/p1b5/1n5P/N7/P3KPB1/2R3NR w - - 0 30,+1513
rnbqkbnr/pp1pp1pp/5p2/2p5/P1P2P2/8/1P1PP1PP/RNBQKBNR b KQkq - 0 3,-37
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+58
2b1kb1r/3ppp1p/7n/8/8/1P2PNPB/5r2/R1K4R b k - 1 19,-850
1nb3kr/3p3p/6pb/4p3/6P1/3KNP1P/1P5R/6r1 w - - 0 22,-1720
1n1qkbnr/rbppppp1/p7/1p5p/4P2P/7N/PPPPKPPR/RNBQ1B2 b k - 5 6,-249
3B1k2/8/1r6/8/2R2P2/2P5/8/6K1 w - - 1 46,+1244
3r1k2/p7/P1R5/8/N1P5/8/8/2K5 w - - 3 37,+812
3R3Q/8/8/6k1/P7/5p2/1P6/4K1N1 b - - 1 42,#+10
8/8/P4k2/4p3/4KBp1/p7/N2P2PP/4R3 b - - 6 41,+2432
rnbqkb1r/2ppp1pp/pp3p1n/8/8/PQP3PN/1P1PPP1P/RNB1KB1R b KQkq - 2 5,-35
1nb1kb2/3pnpp1/1p6/1p5P/8/r3r1RN/4BP1P/3RK3 b - - 1 20,-1144
2k4r/8/8/2P2pp1/4p1p1/B2P4/1R2K2P/7B w - - 0 36,+675
6k1/3P4/6p1/8/P4P2/2NR4/8/3K4 w - - 5 43,#+7
rn2kb2/pp2pNp1/2p5/6B1/2P3b1/P1N3n1/1P3r2/R3KBR1 b Qq - 2 13,-687
2k5/8/4K2n/8/8/2p5/6p1/4R3 b - - 1 44,-325
r2qkbr1/2ppp2p/1p6/p2b1pp1/P1PnP3/1QB5/RP2P1PP/4KBNR w Kq - 2 13,+73
2k3nr/p4bpp/npp5/8/3r4/R5PP/1P2PP1N/2BQKB1R b K - 0 14,+762
7r/3pk3/b6n/rp3p2/7p/1PNP1PP1/1P1Q2q1/2R1KRNB b - - 1 25,+462
1rbqkbnr/pp2p3/3p3p/3n4/3P4/PPN5/2PB1P1P/R2Q1K2 w k - 0 14,-510
5k2/8/p6p/1n6/2K2PpP/8/2PP1R2/8 b - - 6 36,+514
r3k1nr/1ppN1ppQ/3bB3/p2p4/P2q4/8/P3P3/R1B1K3 b kq - 1 17,#-2
5b2/r2n2p1/2k1p3/pp6/1P6/P1NnK3/8/R3R3 w - - 0 30,-38
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,+47
rnb1k1nr/pp1qp1bp/5p2/3p2P1/1p6/7B/P1PPPP1P/RN1QK1NR w KQkq - 0 7,+281
n3n3/2k5/1p2B1p1/PP4p1/8/2K5/4P3/1R6 w - - 1 39,+700
6K1/k3N3/8/7R/7P/6P1/P7/8 w - - 3 47,+2066
rnbqkbnr/p1pppp1p/1p6/6B1/8/3P4/PPP1PPPP/RN1QKBNR w KQkq - 0 3,+318
2b3n1/pr6/2pk4/b2np1P1/4P3/1r6/8/6K1 w - - 0 34,-6897
rnbqkbnr/pp1pp1pp/8/2p2p2/8/5NP1/PPPPPP1P/RNBQKB1R w KQkq - 0 3,+98
2q5/4k3/4pp2/1p6/8/bNP3K1/8/8 w - - 3 37,-1710
2r3n1/2pn3p/p4pk1/4rp2/5P2/1p6/7K/8 w - - 2 44,-3960
5rk1/p4ppp/8/1pp1p3/8/1PN1PPPN/1Pr4P/1R2K2R w - - 1 27,+768
2R5/p4p2/P2p1k2/8/8/7K/8/8 b - - 0 46,+1071
4kbr1/8/6R1/R2p1P2/3B4/8/3P3P/4K3 b - - 3 44,+1215
rnb1kb1r/pp3ppp/4p2q/2pP4/P3P3/3P1P1N/1P4PR/RNBQ1K2 b kq - 0 10,+108
1nNqk2r/2pp1ppp/3b3n/4p3/8/1P1P4/r1P1PPPP/R1BQKBNR b KQk - 0 6,-288
2b5/rp1kp3/B2p4/2p5/1n2P1Q1/2P5/P2P1KP1/RNB3N1 b - - 0 18,+1675
rn2kb1r/2pb1p1p/4p2n/pB1p2p1/3P4/P1P1PR2/RP1Q1PP1/1NB1K3 b kq - 0 11,+296
8/8/5k2/3p4/7P/B7/3PKPB1/5RN1 b - - 3 33,+6043
1n5k/1pQ1Ppp1/4r3/2B4p/P1P4P/8/4b1PR/RN2KBN1 b Q - 2 20,+2402
1N6/4p3/1p2k2n/p2p1p2/8/4bQ2/2P3PR/5K2 w - - 2 26,#+7
r1bqk3/ppp1b3/3p4/2n1p3/6p1/P7/1P1PPP2/RNBK1BN1 w - - 0 13,-1200
rnbqkbnr/ppp1pppp/8/3p4/8/N5P1/PPPPPP1P/R1BQKBNR b KQkq - 1 2,-91
8/1R1Q4/2P3k1/8/2N2p2/5P2/2P3K1/1N6 w - - 9 37,#+3
